timestamp_utc,open,high,low,close,volume
2026-01-01 00:00:00+00:00,100.00,101.10,99.20,100.40,1200
2026-01-01 00:05:00+00:00,100.40,102.30,100.10,101.80,1380
2026-01-01 00:10:00+00:00,101.80,103.10,101.20,102.70,1325
2026-01-01 00:15:00+00:00,102.70,103.00,100.80,101.10,1510
2026-01-01 00:20:00+00:00,101.10,101.60,99.40,100.10,1640
2026-01-01 00:25:00+00:00,100.10,100.90,98.80,99.20,1710
2026-01-01 00:30:00+00:00,99.20,100.60,98.90,100.30,1435
2026-01-01 00:35:00+00:00,100.30,102.00,100.00,101.60,1585
2026-01-01 00:40:00+00:00,101.60,103.80,101.40,103.20,1760
2026-01-01 00:45:00+00:00,103.20,104.00,102.10,102.80,1690
2026-01-01 00:50:00+00:00,102.80,103.20,101.00,101.30,1805
2026-01-01 00:55:00+00:00,101.30,102.70,100.90,102.40,1550
2026-01-01 01:00:00+00:00,102.40,104.70,102.20,104.20,1900
2026-01-01 01:05:00+00:00,104.20,105.10,103.30,103.90,1845
2026-01-01 01:10:00+00:00,103.90,104.10,101.70,102.10,2010
2026-01-01 01:15:00+00:00,102.10,102.60,100.20,100.80,2140
2026-01-01 01:20:00+00:00,100.80,101.90,100.10,101.50,1680
2026-01-01 01:25:00+00:00,101.50,103.40,101.20,103.10,1735
2026-01-01 01:30:00+00:00,103.10,105.30,102.90,104.80,1980
2026-01-01 01:35:00+00:00,104.80,106.00,104.20,105.60,1875
2026-01-01 01:40:00+00:00,105.60,106.10,103.80,104.10,2210
2026-01-01 01:45:00+00:00,104.10,104.90,102.50,103.00,2305
2026-01-01 01:50:00+00:00,103.00,103.70,101.80,102.20,1960
2026-01-01 01:55:00+00:00,102.20,104.30,102.00,103.90,1820
2026-01-01 02:00:00+00:00,103.90,106.20,103.50,105.80,2090

